iter	Passed	Remaining
403	11281	16642
404	11302	16605
405	11323	16566
406	11341	16525
407	11364	16489
408	11386	16453
409	11407	16415
410	11428	16377
411	11447	16337
412	11470	16302
413	11488	16261
414	11508	16223
415	11529	16186
416	11555	16155
417	11574	16116
418	11594	16077
419	11616	16041
420	11642	16011
421	11662	15974
422	11685	15939
423	11708	15906
424	11728	15867
425	11750	15832
426	11771	15796
427	11795	15764
428	11818	15731
429	11844	15701
430	11863	15661
431	11897	15643
432	11917	15605
433	11940	15571
434	11965	15541
435	11986	15505
436	12008	15471
437	12028	15434
438	12050	15399
439	12071	15363
440	12093	15329
441	12114	15294
442	12133	15255
443	12153	15218
444	12175	15184
445	12195	15148
446	12216	15113
447	12241	15083
448	12285	15075
449	12305	15040
450	12326	15004
451	12350	14973
452	12371	14938
453	12390	14901
454	12413	14868
455	12436	14836
456	12455	14799
457	12476	14764
458	12500	14733
459	12521	14699
460	12550	14674
461	12572	14640
462	12592	14605
463	12617	14574
464	12638	14541
465	12661	14508
466	12680	14472
467	12708	14446
468	12729	14412
469	12751	14379
470	12774	14347
471	12796	14314
472	12816	14279
473	12839	14248
474	12875	14230
475	12895	14196
476	12924	14171
477	12946	14138
478	12966	14103
479	12985	14067
480	13003	14031
481	13024	13997
482	13046	13965
483	13069	13934
484	13090	13900
485	13111	13867
486	13135	13837
487	13156	13803
488	13178	13771
489	13204	13743
490	13226	13711
491	13250	13681
492	13271	13648
493	13293	13616
494	13313	13582
495	13337	13552
496	13358	13519
497	13378	13486
498	13401	13455
499	13421	13421
500	13447	13393
501	13469	13362
502	13492	13331
503	13517	13303
504	13541	13273
505	13561	13239
506	13580	13205
507	13604	13176
508	13625	13144
509	13645	13110
510	13666	13078
511	13685	13043
512	13705	13011
513	13724	12976
514	13750	12949
515	13775	12921
516	13795	12888
517	13815	12854
518	13841	12827
519	13865	12798
520	13887	12768
521	13908	12736
522	13930	12705
523	13957	12678
524	13977	12646
525	13999	12615
526	14020	12583
527	14042	12553
528	14068	12525
529	14088	12493
530	14108	12461
531	14128	12429
532	14148	12396
533	14172	12367
534	14190	12333
535	14209	12300
536	14230	12269
537	14251	12238
538	14272	12207
539	14295	12177
540	14314	12145
541	14335	12113
542	14355	12081
543	14383	12056
544	14405	12026
545	14432	12000
546	14451	11968
547	14474	11939
548	14495	11908
549	14516	11877
550	14536	11845
551	14559	11816
552	14579	11785
553	14601	11754
554	14623	11724
555	14643	11694
556	14665	11663
557	14686	11633
558	14709	11604
559	14734	11577
560	14756	11547
561	14782	11520
562	14801	11488
563	14836	11469
564	14856	11438
565	14877	11408
566	14898	11377
567	14919	11347
568	14940	11316
569	14961	11286
570	14994	11265
571	15016	11235
572	15036	11205
573	15056	11173
574	15078	11144
575	15102	11117
576	15123	11086
577	15145	11057
578	15167	11028
579	15190	10999
580	15215	10972
581	15237	10943
582	15257	10913
583	15277	10882
584	15298	10852
585	15318	10822
586	15342	10794
587	15366	10766
588	15392	10740
589	15414	10711
590	15434	10681
591	15455	10651
592	15476	10621
593	15496	10592
594	15522	10565
595	15543	10535
596	15563	10506
597	15582	10475
598	15607	10448
599	15626	10417
600	15645	10386
601	15668	10359
602	15693	10332
603	15713	10302
604	15731	10270
605	15751	10241
606	15773	10212
607	15810	10193
608	15833	10165
609	15855	10137
610	15877	10108
611	15898	10079
612	15921	10051
613	15941	10022
614	15963	9993
615	15984	9964
616	16008	9936
617	16030	9908
618	16052	9880
619	16075	9852
620	16096	9824
621	16119	9796
622	16141	9767
623	16162	9738
624	16184	9710
625	16209	9684
626	16230	9655
627	16253	9627
628	16274	9599
629	16294	9569
630	16317	9542
631	16340	9514
632	16362	9486
633	16384	9458
634	16412	9434
635	16436	9407
636	16454	9376
637	16476	9348
638	16497	9320
639	16526	9296
640	16546	9267
641	16568	9239
642	16589	9210
643	16613	9183
644	16635	9155
645	16658	9128
646	16681	9101
647	16701	9072
648	16721	9043
649	16743	9015
650	16772	8991
651	16800	8967
652	16825	8941
653	16847	8912
654	16867	8884
655	16886	8855
656	16908	8827
657	16929	8798
658	16948	8769
659	16968	8741
660	16999	8718
661	17044	8702
662	17089	8686
663	17142	8674
664	17187	8658
665	17245	8648
666	17288	8631
667	17330	8613
668	17375	8597
669	17420	8580
670	17468	8565
671	17521	8552
672	17576	8540
673	17627	8526
674	17681	8513
675	17722	8494
676	17774	8480
677	17815	8460
678	17864	8445
679	17919	8432
680	17967	8416
681	18015	8400
682	18057	8380
683	18102	8363
684	18156	8349
685	18206	8333
686	18238	8309
687	18269	8284
688	18310	8264
689	18358	8247
690	18398	8227
691	18451	8212
692	18503	8196
693	18549	8178
694	18600	8162
695	18646	8144
696	18691	8125
697	18734	8105
698	18790	8091
699	18841	8074
700	18888	8056
701	18932	8036
702	18978	8018
703	19015	7995
704	19066	7978
705	19118	7961
706	19170	7944
707	19218	7926
708	19273	7910
709	19321	7891
710	19372	7874
711	19410	7851
712	19455	7831
713	19502	7812
714	19546	7791
715	19587	7769
716	19634	7749
717	19676	7728
718	19726	7709
719	19764	7686
720	19813	7667
721	19860	7647
722	19905	7626
723	19959	7608
724	20004	7587
725	20049	7566
726	20096	7546
727	20139	7524
728	20189	7505
729	20231	7483
730	20280	7463
731	20333	7444
732	20383	7424
733	20434	7405
734	20479	7383
735	20520	7360
736	20563	7338
737	20608	7316
738	20672	7301
739	20713	7277
740	20762	7257
741	20809	7235
742	20855	7213
743	20903	7192
744	20949	7170
745	21003	7151
746	21051	7129
747	21103	7109
748	21153	7088
749	21201	7067
750	21255	7047
751	21305	7026
752	21348	7002
753	21389	6978
754	21426	6952
755	21444	6921
756	21465	6890
757	21486	6859
758	21509	6829
759	21534	6800
760	21552	6768
761	21575	6738
762	21594	6707
763	21614	6676
764	21634	6645
765	21654	6615
766	21675	6584
767	21693	6553
768	21720	6524
769	21741	6494
770	21762	6463
771	21784	6433
772	21804	6403
773	21825	6372
774	21853	6344
775	21876	6315
776	21895	6284
777	21918	6254
778	21940	6224
